mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""11.5335""/><font face=""Times New Roman""/><b>Rondo Allegretto</b>"						
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0	
1	1	0	0	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	0									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	1									
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	2									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	3									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	4									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	5									
1	1	2	2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	6									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	7									
1	1	0	0	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	8									
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	9									
2	2	3	3	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	10									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	11									
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	12									
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	13									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	14									
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	15									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	16									
2	2	3	3	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	17									
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	18									
3	3	6	6	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	19									0
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	20									0
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	21									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	22									1
3	3	8	8	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	23									1
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	24									
