mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0		
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	0									
1	1	3/4	3/4	0.0625	3/16	3/16	Chord	3/4	1	1	1/64		1/64	1	1									
1	1	13/16	13/16	0.0625	13/64	13/64	Chord	3/4	1	1	1/64		1/64	1	2									
1	1	7/8	7/8	0.0625	7/32	7/32	Chord	3/4	1	1	1/64		1/64	1	3									
1	1	15/16	15/16	0.0625	15/64	15/64	Chord	3/4	1	1	1/64		1/64	1	4									
1	1	1	1	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	5									
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	6									
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	7									
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	8									
1	1	2	2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	9									
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	10									
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	11									
1	1	11/4	11/4	0.0	11/16	11/16	Chord	3/4	1	1	0	grace16	1/16	1	12									
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	13									
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	14									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	15									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	16									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19									
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	20									
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	21									
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	22									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	23									
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	24									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	25									
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	26									
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	27									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	28									
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	29									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	30									
3	3	6	6	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	31									
3	3	27/4	27/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	32									
3	3	55/8	55/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	33									
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	34									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	35									
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	36									
3	3	17/2	17/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	37									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	38									
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	39									
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	40									
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41									
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	42									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	43									
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	44									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	45									
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	46									
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	47									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	48									
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	49									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	50									
4	4	9	9	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	51									
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	52									
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					fz								
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	53									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	54									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	55									
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	56									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	57									
5	5	12	12	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	58									
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	59									
6	6	15	15	0.0	0	0	Dynamic	3/4	1	1	0					fz								
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	60									
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	61								0	
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62								0	
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	63								0	
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	64									
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	65									
7	7	18	18	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	66									
7	7	75/4	75/4	0.0625	3/16	3/16	Chord	3/4	1	1	1/64		1/64	1	67									
7	7	301/16	301/16	0.0625	13/64	13/64	Chord	3/4	1	1	1/64		1/64	1	68									
7	7	151/8	151/8	0.0625	7/32	7/32	Chord	3/4	1	1	1/64		1/64	1	69									
7	7	303/16	303/16	0.0625	15/64	15/64	Chord	3/4	1	1	1/64		1/64	1	70									
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	71									
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	72									
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	73									
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	74									
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	75									
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	76									
