mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.5	0	0	6/8	2	1	e.i		e	i		i		i							m	1	1	0, -3, 1		0	0
1	1	5/2	5/2	0.5	5/8	5/8	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	3	0.5	0	0	6/8	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
2	2	7/2	7/2	0.5	1/8	1/8	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	4	4	0.5	1/4	1/4	6/8	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
2	2	9/2	9/2	1.5	3/8	3/8	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	6	6	2.5	0	0	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
3	3	17/2	17/2	0.5	5/8	5/8	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	9	9	0.5	0	0	6/8	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	19/2	19/2	0.5	1/8	1/8	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	10	10	0.5	1/4	1/4	6/8	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	21/2	21/2	1.5	3/8	3/8	6/8	2	1	i6\\		e	i		i6		i		6				\\	m	1	1	-3, 1, 0		0	-3
5	5	12	12	1.5	0	0	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
5	5	27/2	27/2	1.5	3/8	3/8	6/8	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	15	15	1.5	0	0	6/8	2	1	V7/III		e	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	33/2	33/2	1.5	3/8	3/8	6/8	2	1	III		e	i		III		III							M	1	1	-3, 1, -2		-3	-3
7	7	18	18	1.5	0	0	6/8	2	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	39/2	39/2	1.5	3/8	3/8	6/8	2	1	iio		e	i		iio		ii	o						o	1	1	2, -1, -4		2	2
8	8	21	21	1.5	0	0	6/8	2	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	45/2	45/2	0.5	3/8	3/8	6/8	2	1	i\\		e	i		i		i						\\	m	1	1	0, -3, 1		0	0
8	8	23	23	1.0	1/2	1/2	6/8	2	1	V43		e	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
9	9	24	24	1.0	0	0	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
9	9	25	25	0.5	1/4	1/4	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
9	9	51/2	51/2	0.5	3/8	3/8	6/8	2	1	#viio6		e	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
9	9	26	26	1.0	1/2	1/2	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
10	10	27	27	0.5	0	0	6/8	2	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	55/2	55/2	0.5	1/8	1/8	6/8	2	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	28	28	0.5	1/4	1/4	6/8	2	1	iio6		e	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
10	10	57/2	57/2	1.0	3/8	3/8	6/8	2	1	V(64)		e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
10	10	59/2	59/2	0.5	5/8	5/8	6/8	2	1	V\\		e	i		V		V						\\	M	1	1	1, 5, 2		1	1
11	11	30	30	1.5	0	0	6/8	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	11	63/2	63/2	0.5	3/8	3/8	6/8	2	1	#viio6		e	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
11	11	32	32	1.0	1/2	1/2	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
12	12	33	33	0.5	0	0	6/8	2	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
12	12	67/2	67/2	0.5	1/8	1/8	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
12	12	34	34	0.5	1/4	1/4	6/8	2	1	III.ii		e	III		ii		ii							m	1	0	2, -1, 3		2	2
12	12	69/2	69/2	1.0	3/8	3/8	6/8	2	1	V(64)		e	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
12	12	71/2	71/2	0.5	5/8	5/8	6/8	2	1	V\\		e	III		V		V						\\	M	1	0	1, 5, 2		1	1
13	13	36	36	2.5	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
13	13	77/2	77/2	0.5	5/8	5/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
14	14	39	39	0.5	0	0	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
14	14	79/2	79/2	0.5	1/8	1/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
14	14	40	40	0.5	1/4	1/4	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
14	14	81/2	81/2	0.5	3/8	3/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
14	14	41	41	0.5	1/2	1/2	6/8	2	1	viio6(2)		e	III		viio6(2)		vii	o	6	2				o	1	0	2, -1, 0		5	2
14	14	83/2	83/2	0.5	5/8	5/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
15	15	42	42	0.5	0	0	6/8	2	1	IV6		e	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
15	15	85/2	85/2	0.5	1/8	1/8	6/8	2	1	V(64)		e	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
15	15	43	43	0.5	1/4	1/4	6/8	2	1	IV6		e	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
15	15	87/2	87/2	0.5	3/8	3/8	6/8	2	1	V(64)		e	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
15	15	44	44	0.5	1/2	1/2	6/8	2	1	viio64(2)		e	III		viio64(2)		vii	o	64	2				o	1	0	-1, 0, 2		5	-1
15	15	89/2	89/2	0.5	5/8	5/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
16	16	45	45	0.5	0	0	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
16	16	91/2	91/2	0.5	1/8	1/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
16	16	46	46	0.5	1/4	1/4	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
16	16	93/2	93/2	0.5	3/8	3/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
