mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.C.I		C	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	1	1	IV6	vi	C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
2	2	0	0	4/4	1	1	viio\\		C	I		viio		vii	o				\\	o	0	0	5, 2, -1		5	5
2	2	3/4	3/4	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
3	3	0	0	4/4	1	1	I[I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	4/4	1	1	viio64	ii6	C	I	I	viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
3	3	3/4	3/4	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	1	1	IV6		C	I	I	IV6		IV		6				M	0	0	3, 0, -1		-1	3
4	4	1/4	1/4	4/4	1	1	V65		C	I	I	V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
4	4	1/2	1/2	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
4	4	3/4	3/4	4/4	1	1	vi		C	I	I	vi		vi						m	0	0	3, 0, 4		3	3
5	5	0	0	4/4	1	1	#viio/vi		C	I	I	#viio/vi		#vii	o			vi		o	0	0	8, 5, 2		8	8
5	5	1/4	1/4	4/4	1	1	vi		C	I	I	vi		vi						m	0	0	3, 0, 4		3	3
5	5	1/2	1/2	4/4	1	1	V		C	I	I	V		V						M	0	0	1, 5, 2		1	1
5	5	3/4	3/4	4/4	1	1	IV		C	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
6	6	0	0	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	4/4	1	1	IV		C	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
6	6	1/2	1/2	4/4	1	1	I\\		C	I	I	I		I					\\	M	0	0	0, 4, 1		0	0
6	6	3/4	3/4	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	1	1	IV6		C	I	I	IV6		IV		6				M	0	0	3, 0, -1		-1	3
7	7	1/4	1/4	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
7	7	1/2	1/2	4/4	1	1	ii6		C	I	I	ii6		ii		6				m	0	0	-1, 3, 2		2	-1
7	7	3/4	3/4	4/4	1	1	V2		C	I	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	0	0	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
8	8	3/4	3/4	4/4	1	1	vi		C	I	I	vi		vi						m	0	0	3, 0, 4		3	3
9	9	0	0	4/4	1	1	#viio/vi		C	I	I	#viio/vi		#vii	o			vi		o	0	0	8, 5, 2		8	8
9	9	1/4	1/4	4/4	1	1	vi		C	I	I	vi		vi						m	0	0	3, 0, 4		3	3
9	9	1/2	1/2	4/4	1	1	V		C	I	I	V		V						M	0	0	1, 5, 2		1	1
9	9	3/4	3/4	4/4	1	1	IV		C	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
10	10	0	0	4/4	1	1	I		C	I	I	I		I						M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	4/4	1	1	IV		C	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
10	10	1/2	1/2	4/4	1	1	I\\		C	I	I	I		I					\\	M	0	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	1	1	I]		C	I	I	I		I						M	0	0	0, 4, 1		0	0
11	11	0	0	4/4	1	1	ii6		C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
11	11	3/4	3/4	4/4	1	1	V65/V		C	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
