mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.D.V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
2	1	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
2	1	1/4	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
2	1	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	1	5/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
3	2	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	2	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
4	3	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
4	3	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
4	3	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
4	3	5/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
5	4	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
5	4	3/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
5	4	5/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
6	5	1/4	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
6	5	3/8	ii	viio6	D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
6	5	5/8	V7/ii		D	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3.0	3.0
7	6	0	ii		D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
7	6	5/8	V/ii		D	I		V/ii	V				ii		M	0	0	3, 7, 4		3.0	3.0
8	7	0	ii		D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
8	7	1/4	V6		D	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
8	7	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
8	7	5/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
9	8	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
9	8	3/8	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
9	8	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
10	9	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
10	9	1/4	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
10	9	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
10	9	5/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
11	10	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
11	10	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
12	11	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
12	11	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
12	11	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
12	11	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
13	12	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
13	12	5/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
14	13	0	V43		D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
15	14	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
16	15	0	V43		D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
17	16	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
17	16	5/8	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
18	17	0	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
18	17	3/8	IV6		D	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
19	18	0	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
19	18	5/8	V65/V		D	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
20	19	0	V[V		D	I	V	V	V						M	0	0	1, 5, 2		1.0	1.0
20	19	3/8	viio7		D	I	V	viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
21	20	0	V		D	I	V	V	V						M	0	0	1, 5, 2		1.0	1.0
21	20	3/8	viio7		D	I	V	viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
22	21	0	V]\\		D	I	V	V	V					\\	M	0	0	1, 5, 2		1.0	1.0
23	22	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
24	23	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
24	23	1/4	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
24	23	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
24	23	5/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
25	24	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
25	24	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
26	25	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
26	25	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
26	25	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
26	25	5/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
27	26	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
27	26	3/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
28	27	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
28	27	1/4	V.iii6		D	V		iii6	iii		6				m	0	0	1, 5, 4		4.0	1.0
28	27	3/8	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
28	27	5/8	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
29	28	0	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
29	28	1/4	V(64)		D	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
29	28	3/8	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
30	29	0	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
30	29	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
30	29	3/8	V(64)		D	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
30	29	5/8	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
31	30	0	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
31	30	1/4	viio6		D	V		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
31	30	3/8	I[I		D	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
32	31	0	vi6		D	V	I	vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
32	31	1/4	V		D	V	I	V	V						M	0	0	1, 5, 2		1.0	1.0
32	31	3/8	IV		D	V	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
32	31	5/8	I]		D	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
33	32	0	IV6		D	V		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
33	32	1/4	I64		D	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
33	32	3/8	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
33	32	5/8	viio/V		D	V		viio/V	vii	o			V		o	0	0	6, 3, 0		6.0	6.0
