mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	0	3/4	3/8	3/8	firstMeasure				1	2
2	1	0	3/4	3/4	0						3
3	2	0	3/4	3/4	0						4
4	3	0	3/4	3/4	0						5
5	4	0	3/4	3/4	0						6
6	5	0	3/4	3/4	0						7
7	6	0	3/4	3/4	0						8
8	7	0	3/4	3/4	0						9
9	8	0	3/4	3/4	0						10
10	9	0	3/4	3/4	0						11
11	10	0	3/4	3/4	0						12
12	11	0	3/4	3/4	0						13
13	12	0	3/4	3/4	0						14
14	13	0	3/4	3/4	0						15
15	14	0	3/4	3/4	0						16
16	15	0	3/4	3/4	0						17
17	16	0	3/4	3/4	0						18
18	17	0	3/4	3/4	0						19
19	18	0	3/4	3/4	0						20
20	19	0	3/4	3/4	0						21
21	20	0	3/4	3/4	0						22
22	21	0	3/4	3/4	0						23
23	22	0	3/4	3/4	0						24
24	23	0	3/4	3/4	0						25
25	24	0	3/4	3/4	0						26
26	25	0	3/4	3/4	0						27
27	26	0	3/4	3/4	0						28
28	27	0	3/4	3/4	0						29
29	28	0	3/4	3/4	0						30
30	29	0	3/4	3/4	0						31
31	30	0	3/4	3/4	0						32
32	31	0	3/4	3/4	0						33
33	32	0	3/4	3/4	0						34
34	33	0	3/4	3/4	0						35
35	34	0	3/4	3/4	0						36
36	35	0	3/4	3/4	0						37
37	36	0	3/4	3/4	0						38
38	37	0	3/4	3/4	0						39
39	38	0	3/4	3/4	0						40
40	39	0	3/4	3/4	0						41
41	40	0	3/4	3/4	0						42
42	41	0	3/4	3/4	0						43
43	42	0	3/4	3/4	0						44
44	43	0	3/4	3/4	0						45
45	44	0	3/4	3/4	0						46
46	45	0	3/4	3/4	0						47
47	46	0	3/4	3/4	0						48
48	47	0	3/4	3/4	0						49
49	48	0	3/4	3/4	0						50
50	49	0	3/4	3/4	0						51
51	50	0	3/4	3/4	0						52
52	51	0	3/4	3/4	0						53
53	52	0	3/4	3/4	0						54
54	53	0	3/4	3/4	0						55
55	54	0	3/4	3/4	0						56
56	55	0	3/4	3/4	0						57
57	56	0	3/4	3/4	0						58
58	57	0	3/4	3/4	0						59
59	58	0	3/4	3/4	0						60
60	59	0	3/4	3/4	0						61
61	60	0	3/4	3/4	0						62
62	61	0	3/4	3/4	0						63
63	62	0	3/4	3/4	0						64
64	63	0	3/4	3/4	0						65
65	64	0	3/4	3/4	0						66
66	65	0	3/4	3/4	0						67
67	66	0	3/4	3/4	0						68
68	67	0	3/4	3/4	0						69
69	68	0	3/4	3/4	0						70
70	69	0	3/4	3/4	0						71
71	70	0	3/4	3/8	0	endRepeat					1, 72
72	70	0	3/4	3/8	3/8	startRepeat				1	73
73	71	0	3/4	3/4	0						74
74	72	0	3/4	3/4	0						75
75	73	0	3/4	3/4	0						76
76	74	0	3/4	3/4	0						77
77	75	0	3/4	3/4	0						78
78	76	0	3/4	3/4	0						79
79	77	0	3/4	3/4	0						80
80	78	0	3/4	3/4	0						81
81	79	0	3/4	3/4	0						82
82	80	0	3/4	3/4	0						83
83	81	0	3/4	3/4	0						84
84	82	0	3/4	3/4	0						85
85	83	0	3/4	3/4	0						86
86	84	0	3/4	3/4	0						87
87	85	0	3/4	3/4	0						88
88	86	0	3/4	3/4	0						89
89	87	0	3/4	3/4	0						90
90	88	0	3/4	3/4	0						91
91	89	0	3/4	3/4	0						92
92	90	0	3/4	3/4	0						93
93	91	0	3/4	3/4	0						94
94	92	0	3/4	3/4	0						95
95	93	0	3/4	3/4	0						96
96	94	0	3/4	3/4	0						97
97	95	0	3/4	3/4	0						98
98	96	0	3/4	3/4	0						99
99	97	0	3/4	3/4	0						100
100	98	0	3/4	3/4	0						101
101	99	0	3/4	3/4	0						102
102	100	0	3/4	3/4	0						103
103	101	0	3/4	3/4	0						104
104	102	0	3/4	3/4	0						105
105	103	0	3/4	3/4	0						106
106	104	0	3/4	3/4	0						107
107	105	0	3/4	3/4	0						108
108	106	0	3/4	3/4	0						109
109	107	0	3/4	3/4	0						110
110	108	0	3/4	3/4	0						111
111	109	0	3/4	3/4	0						112
112	110	0	3/4	3/4	0						113
113	111	0	3/4	3/4	0						114
114	112	0	3/4	3/4	0						115
115	113	0	3/4	3/4	0						116
116	114	0	3/4	3/4	0						117
117	115	0	3/4	3/4	0						118
118	116	0	3/4	3/4	0						119
119	117	0	3/4	3/4	0						120
120	118	0	3/4	3/4	0						121
121	119	0	3/4	3/4	0						122
122	120	0	3/4	3/4	0						123
123	121	0	3/4	3/4	0						124
124	122	0	3/4	3/4	0						125
125	123	0	3/4	3/4	0						126
126	124	0	3/4	3/4	0						127
127	125	0	3/4	3/4	0						128
128	126	0	3/4	3/4	0						129
129	127	0	3/4	3/4	0						130
130	128	0	3/4	3/4	0						131
131	129	0	3/4	3/4	0						132
132	130	0	3/4	3/4	0						133
133	131	0	3/4	3/4	0						134
134	132	0	3/4	3/4	0						135
135	133	0	3/4	3/4	0						136
136	134	0	3/4	3/4	0						137
137	135	0	3/4	3/4	0						138
138	136	0	3/4	3/4	0						139
139	137	0	3/4	3/4	0						140
140	138	0	3/4	3/4	0						141
141	139	0	3/4	3/4	0						142
142	140	0	3/4	3/4	0						143
143	141	0	3/4	3/4	0						144
144	142	0	3/4	3/4	0						145
145	143	0	3/4	3/4	0						146
146	144	0	3/4	3/4	0						147
147	145	0	3/4	3/4	0						148
148	146	0	3/4	3/4	0						149
149	147	0	3/4	3/4	0						150
150	148	0	3/4	3/4	0						151
151	149	0	3/4	3/4	0						152
152	150	0	3/4	3/4	0						153
153	151	0	3/4	3/4	0						154
154	152	0	3/4	3/4	0						155
155	153	0	3/4	3/4	0						156
156	154	0	3/4	3/4	0						157
157	155	0	3/4	3/4	0						158
158	156	0	3/4	3/4	0						159
159	157	0	3/4	3/4	0						160
160	158	0	3/4	3/4	0						161
161	159	0	3/4	3/4	0						162
162	160	0	3/4	3/4	0						163
163	161	0	3/4	3/4	0						164
164	162	0	3/4	3/4	0						165
165	163	0	3/4	3/4	0						166
166	164	0	3/4	3/4	0						167
167	165	0	3/4	3/4	0						168
168	166	0	3/4	3/4	0						169
169	167	0	3/4	3/4	0						170
170	168	0	3/4	3/4	0						171
171	169	0	3/4	3/4	0						172
172	170	0	3/4	3/4	0						173
173	171	0	3/4	3/4	0						174
174	172	0	3/4	3/4	0						175
175	173	0	3/4	3/4	0						176
176	174	0	3/4	3/4	0						177
177	175	0	3/4	3/4	0						178
178	176	0	3/4	3/4	0						179
179	177	0	3/4	3/4	0						180
180	178	0	3/4	3/4	0						181
181	179	0	3/4	3/4	0						182
182	180	0	3/4	3/4	0						183
183	181	0	3/4	3/4	0						184
184	182	0	3/4	3/4	0						185
185	183	0	3/4	3/4	0						186
186	184	0	3/4	3/4	0						187
187	185	0	3/4	3/4	0						188
188	186	0	3/4	3/4	0						189
189	187	0	3/4	3/4	0						190
190	188	0	3/4	3/4	0						191
191	189	0	3/4	3/4	0						192
192	190	0	3/4	3/4	0						193
193	191	0	3/4	3/4	0						194
194	192	0	3/4	3/4	0						195
195	193	0	3/4	3/4	0						196
196	194	0	3/4	3/4	0						197
197	195	0	3/4	3/4	0						198
198	196	0	3/4	3/4	0						199
199	197	0	3/4	3/4	0						200
200	198	0	3/4	3/4	0						201
201	199	0	3/4	3/4	0						202
202	200	0	3/4	3/4	0						203
203	201	0	3/4	3/4	0						204
