mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	5/8	6/8	1	1	1/8		1/8	1		3	69		0
2	1	0	0	6/8	2	1	1/4		1/4	1		2	50		6
2	1	0	0	6/8	2	1	1/4		1/4	1		6	54		6
2	1	0	0	6/8	1	1	3/16		1/8	3/2		2	74		1
2	1	3/16	3/16	6/8	1	1	1/16		1/16	1		4	76		2
2	1	1/4	1/4	6/8	2	1	1/8		1/8	1		2	50		7
2	1	1/4	1/4	6/8	2	1	1/8		1/8	1		6	54		7
2	1	1/4	1/4	6/8	1	1	1/8		1/8	1		2	74		3
2	1	3/8	3/8	6/8	2	1	1/4		1/4	1		2	50		8
2	1	3/8	3/8	6/8	2	1	1/4		1/4	1		6	54		8
2	1	3/8	3/8	6/8	1	1	1/4		1/4	1		3	69		4
2	1	5/8	5/8	6/8	2	1	1/8		1/8	1		2	50		9
2	1	5/8	5/8	6/8	2	1	1/8		1/8	1		6	54		9
2	1	5/8	5/8	6/8	1	1	1/8		1/8	1		10	70		5
3	2	0	0	6/8	2	1	1/4		1/4	1		2	50		17
3	2	0	0	6/8	2	1	1/4		1/4	1		1	55		17
3	2	0	0	6/8	1	1	1/4		1/4	1		5	71		10
3	2	1/4	1/4	6/8	1	1	0	grace32	1/32	1		0	72		11
3	2	1/4	1/4	6/8	2	1	1/8		1/8	1		2	50		18
3	2	1/4	1/4	6/8	2	1	1/8		1/8	1		1	55		18
3	2	1/4	1/4	6/8	1	1	1/16		1/16	1		5	71		12
3	2	5/16	5/16	6/8	1	1	1/32		1/32	1		3	69		13
3	2	11/32	11/32	6/8	1	1	1/32		1/32	1		1	67		14
3	2	3/8	3/8	6/8	2	1	1/8		1/8	1		2	50		19
3	2	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57		19
3	2	3/8	3/8	6/8	1	1	1/8		1/8	1		6	66		15
3	2	5/8	5/8	6/8	1	1	1/8		1/8	1		6	78		16
4	3	0	0	6/8	2	1	1/4		1/4	1		2	50		25
4	3	0	0	6/8	2	1	1/4		1/4	1		5	59		25
4	3	0	0	6/8	1	1	3/16		1/8	3/2		1	79		20
4	3	3/16	3/16	6/8	1	1	1/16		1/16	1		3	81		21
4	3	1/4	1/4	6/8	2	1	1/8		1/8	1		2	50		26
4	3	1/4	1/4	6/8	2	1	1/8		1/8	1		5	59		26
4	3	1/4	1/4	6/8	1	1	1/8		1/8	1		1	79		22
