mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	3/4	2	1	1/4		1/4	1		1	55	G3	3	3
1	1	0	0	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	3
1	1	0	0	1.0	0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	3
1	1	0	0	1.0	0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	0
1	1	0	0	1.0	0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	4
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	4
1	1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	4
1	1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	67	G4	4	1
1	1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	79	G5	5	1
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	5
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	5
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	5
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	2
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	2
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		1	55	G3	3	12
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	12
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	12
2	2	3	3	0.75	0	0	3/4	1	1	3/16		1/8	3/2		6	66	F#4	4	6
2	2	3	3	0.75	0	0	3/4	1	1	3/16		1/8	3/2		6	78	F#5	5	6
2	2	15/4	15/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		1	67	G4	4	7
2	2	15/4	15/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	7
2	2	4	4	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	A4	4	8
2	2	4	4	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		3	81	A5	5	8
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	9
2	2	5	5	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	10
2	2	5	5	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	84	C6	6	10
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		1	67	G4	4	13
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	13
2	2	23/4	23/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		-3	75	Eb5	5	11
3	3	6	6	0.5	0	0	3/4	2	1	1/8		1/8	1		6	66	F#4	4	22
3	3	6	6	0.5	0	0	3/4	2	1	1/8		1/8	1		3	69	A4	4	22
3	3	6	6	0.5	0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	14
3	3	13/2	13/2	0.0	1/8	1/8	3/4	1	1	0	grace16	1/16	1		-1	77	F5	5	15
3	3	13/2	13/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		1	67	G4	4	23
3	3	13/2	13/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	23
3	3	13/2	13/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	16
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	F#4	4	24
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		3	69	A4	4	24
3	3	7	7	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	17
3	3	15/2	15/2	0.0	3/8	3/8	3/4	1	1	0	grace16	1/16	1		-1	77	F5	5	18
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		1	67	G4	4	25
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	25
3	3	15/2	15/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	19
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		6	66	F#4	4	26
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		3	69	A4	4	26
3	3	8	8	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	20
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		1	67	G4	4	27
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		-2	70	Bb4	4	27
3	3	17/2	17/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		7	73	C#5	5	21
4	4	9	9	1.5	0	0	3/4	2	2	3/8		1/4	3/2		2	62	D4	4	42
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		1	67	G4	4	40
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	40
4	4	9	9	1.0	0	0	3/4	1	1	1/4		1/4	1		7	73	C#5	5	28
4	4	10	10	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	F#4	4	41
4	4	10	10	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		3	69	A4	4	41
4	4	10	10	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	29
4	4	89/8	89/8	0.375	17/32	17/32	3/4	1	1	3/32		1/16	3/2		2	62	D4	4	30
4	4	23/2	23/2	0.05555555555555555	5/8	5/8	3/4	1	1	1/72		1/64	8/9		4	64	E4	4	31
4	4	104/9	104/9	0.05555555555555555	23/36	23/36	3/4	1	1	1/72		1/64	8/9		6	66	F#4	4	32
4	4	5573/480	5573/480	0.05555555555555555	1253/1920	1253/1920	3/4	1	1	1/72		1/64	8/9		1	67	G4	4	33
4	4	16799/1440	16799/1440	0.05555555555555555	3839/5760	3839/5760	3/4	1	1	1/72		1/64	8/9		3	69	A4	4	34
4	4	16879/1440	16879/1440	0.05555555555555555	3919/5760	3919/5760	3/4	1	1	1/72		1/64	8/9		-2	70	Bb4	4	35
4	4	5653/480	5653/480	0.05555555555555555	1333/1920	1333/1920	3/4	1	1	1/72		1/64	8/9		7	73	C#5	5	36
4	4	17039/1440	17039/1440	0.05555555555555555	4079/5760	4079/5760	3/4	1	1	1/72		1/64	8/9		2	74	D5	5	37
