mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	1/4		1/4	1		1	55		3
1	1	0	0	3/4	2	1	1/4		1/4	1		-2	58		3
1	1	0	0	3/4	2	1	1/4		1/4	1		2	62		3
1	1	0	0	3/4	1	1	1/4		1/4	1		1	67		0
1	1	0	0	3/4	1	1	1/4		1/4	1		1	79		0
1	1	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		4
1	1	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		4
1	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63		4
1	1	1/4	1/4	3/4	1	1	1/4		1/4	1		1	67		1
1	1	1/4	1/4	3/4	1	1	1/4		1/4	1		1	79		1
1	1	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		5
1	1	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58		5
1	1	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		5
1	1	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67		2
1	1	1/2	1/2	3/4	1	1	1/4		1/4	1		1	79		2
2	2	0	0	3/4	2	1	1/2		1/2	1		1	55		12
2	2	0	0	3/4	2	1	1/2		1/2	1		3	57		12
2	2	0	0	3/4	2	1	1/2		1/2	1		0	60		12
2	2	0	0	3/4	1	1	3/16		1/8	3/2		6	66		6
2	2	0	0	3/4	1	1	3/16		1/8	3/2		6	78		6
2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		1	67		7
2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		1	79		7
2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69		8
2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		3	81		8
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70		9
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	82		9
2	2	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72		10
